Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease
skin_rash,blurred_and_distorted_vision,dischromic__patches,nodal_skin_eruptions,,,,,,,,,,,,,,fungal infection
skin_rash,dischromic__patches,brittle_nails,,,,,,,,,,,,,,,fungal infection
family_history,itching,nodal_skin_eruptions,,,,,,,,,,,,,,,fungal infection
skin_rash,dischromic__patches,yellowing_of_eyes,,,,,,,,,,,,,,,fungal infection
weight_gain,itching,nodal_skin_eruptions,nausea,,,,,,,,,,,,,,fungal infection
shivering,watering_from_eyes,belly_pain,continuous_sneezing,,,,,,,,,,,,,,allergy
chills,loss_of_balance,shivering,,,,,,,,,,,,,,,allergy
chills,hip_joint_pain,watering_from_eyes,,,,,,,,,,,,,,,allergy
lack_of_concentration,shivering,continuous_sneezing,,,,,,,,,,,,,,,allergy
shivering,toxic_look_(typhos),continuous_sneezing,,,,,,,,,,,,,,,allergy
lethargy,chest_pain,acidity,stomach_pain,ulcers_on_tongue,vomiting,,,,,,,,,,,,gerd
chest_pain,irritability,stomach_pain,ulcers_on_tongue,vomiting,,,,,,,,,,,,,gerd
burning_micturition,chest_pain,acidity,stomach_pain,vomiting,,,,,,,,,,,,,gerd
chest_pain,cough,stomach_pain,inflammatory_nails,ulcers_on_tongue,,,,,,,,,,,,,gerd
cough,acidity,stomach_pain,ulcers_on_tongue,vomiting,,,,,,,,,,,,,gerd
vomiting,movement_stiffness,cough,acidity,ulcers_on_tongue,,,,,,,,,,,,,gerd
chest_pain,cough,acidity,blurred_and_distorted_vision,ulcers_on_tongue,,,,,,,,,,,,,gerd
loss_of_appetite,yellowish_skin,itching,yellowing_of_eyes,nausea,internal_itching,abdominal_pain,vomiting,,,,,,,,,,chronic cholestasis
loss_of_appetite,mood_swings,vomiting,yellowing_of_eyes,nausea,abdominal_pain,,,,,,,,,,,,chronic cholestasis
loss_of_appetite,yellowish_skin,diarrhoea,itching,yellowing_of_eyes,abdominal_pain,,,,,,,,,,,,chronic cholestasis
irregular_sugar_level,loss_of_appetite,vomiting,itching,yellowing_of_eyes,abdominal_pain,,,,,,,,,,,,chronic cholestasis
stomach_bleeding,loss_of_appetite,vomiting,itching,yellowing_of_eyes,abdominal_pain,,,,,,,,,,,,chronic cholestasis
yellowish_skin,loss_of_smell,itching,yellowing_of_eyes,nausea,abdominal_pain,,,,,,,,,,,,chronic cholestasis
yellowish_skin,dark_urine,itching,yellowing_of_eyes,nausea,vomiting,,,,,,,,,,,,chronic cholestasis
loss_of_appetite,yellowish_skin,vomiting,itching,swelling_of_stomach,abdominal_pain,nausea,,,,,,,,,,,chronic cholestasis
burning_micturition,knee_pain,stomach_pain,itching,spotting__urination,,,,,,,,,,,,,drug reaction
stomach_pain,spotting__urination,burning_micturition,lethargy,,,,,,,,,,,,,,drug reaction
skin_rash,stomach_pain,itching,burning_micturition,,,,,,,,,,,,,,drug reaction
stomach_pain,itching,spotting__urination,yellow_urine,,,,,,,,,,,,,,drug reaction
stomach_pain,itching,knee_pain,burning_micturition,vomiting,,,,,,,,,,,,,drug reaction
restlessness,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,,,drug reaction
loss_of_appetite,stomach_pain,abdominal_pain,internal_itching,vomiting,,,,,,,,,,,,,peptic ulcer diseae
vomiting,weight_gain,indigestion,internal_itching,abdominal_pain,,,,,,,,,,,,,peptic ulcer diseae
indigestion,swelling_of_stomach,passage_of_gases,internal_itching,abdominal_pain,,,,,,,,,,,,,peptic ulcer diseae
loss_of_appetite,excessive_hunger,passage_of_gases,internal_itching,vomiting,,,,,,,,,,,,,peptic ulcer diseae
blister,indigestion,abdominal_pain,internal_itching,vomiting,,,,,,,,,,,,,peptic ulcer diseae
loss_of_appetite,indigestion,passage_of_gases,internal_itching,vomiting,,,,,,,,,,,,,peptic ulcer diseae
blood_in_sputum,vomiting,indigestion,passage_of_gases,internal_itching,abdominal_pain,,,,,,,,,,,,peptic ulcer diseae
muscle_wasting,knee_pain,patches_in_throat,extra_marital_contacts,,,,,,,,,,,,,,aids
muscle_wasting,high_fever,extra_marital_contacts,vomiting,,,,,,,,,,,,,,aids
muscle_wasting,swollen_blood_vessels,extra_marital_contacts,,,,,,,,,,,,,,,aids
movement_stiffness,patches_in_throat,extra_marital_contacts,,,,,,,,,,,,,,,aids
muscle_wasting,rusty_sputum,high_fever,vomiting,,,,,,,,,,,,,,aids
irregular_sugar_level,polyuria,obesity,weight_loss,restlessness,swollen_blood_vessels,excessive_hunger,increased_appetite,blurred_and_distorted_vision,fatigue,headache,,,,,,,diabetes
irregular_sugar_level,polyuria,obesity,weight_loss,restlessness,excessive_hunger,increased_appetite,blurred_and_distorted_vision,,,,,,,,,,diabetes
irregular_sugar_level,polyuria,obesity,restlessness,excessive_hunger,increased_appetite,cold_hands_and_feets,blurred_and_distorted_vision,fatigue,,,,,,,,,diabetes
irregular_sugar_level,polyuria,obesity,weight_loss,lethargy,excessive_hunger,blurred_and_distorted_vision,fatigue,skin_peeling,,,,,,,,,diabetes
irregular_sugar_level,polyuria,obesity,restlessness,toxic_look_(typhos),excessive_hunger,increased_appetite,blurred_and_distorted_vision,fatigue,headache,,,,,,,,diabetes
